order_line_id,order_id,order_date,customer_id,customer_name,city,product_id,product_name,category,quantity,unit_price,revenue
1001-1,1001,2024-05-25,38,Jacob Nguyen,Dallas,102,Americano,coffee,1,3.25,3.25
1002-1,1002,2024-03-02,4,Liam Martinez,Dallas,106,Cold Brew,coffee,1,4.75,4.75
1003-1,1003,2024-03-12,16,Elizabeth Kim,Dallas,103,Latte,coffee,1,4.5,4.5
1004-1,1004,2024-05-27,37,Henry Lee,Austin,113,Bagel,pastry,1,2.75,2.75
1004-2,1004,2024-05-27,37,Henry Lee,Austin,102,Americano,coffee,1,3.25,3.25
1005-1,1005,2024-03-31,28,Jacob Nguyen,San Antonio,112,Blueberry Muffin,pastry,1,3.0,3.0
1006-1,1006,2024-06-15,42,Michael Davis,Austin,106,Cold Brew,coffee,2,4.75,9.5
1007-1,1007,2024-03-09,7,Evelyn Nguyen,Dallas,103,Latte,coffee,1,4.5,4.5
1008-1,1008,2024-04-28,18,Amelia Lopez,Houston,108,Earl Grey,tea,2,3.5,7.0
1008-2,1008,2024-04-28,18,Amelia Lopez,Houston,114,Cinnamon Roll,pastry,1,3.75,3.75
1008-3,1008,2024-04-28,18,Amelia Lopez,Houston,101,Espresso,coffee,1,3.0,3.0
1009-1,1009,2024-01-04,35,Ethan Johnson,Houston,114,Cinnamon Roll,pastry,1,3.75,3.75
1009-2,1009,2024-01-04,35,Ethan Johnson,Houston,107,Green Tea,tea,1,3.5,3.5
1009-3,1009,2024-01-04,35,Ethan Johnson,Houston,104,Cappuccino,coffee,2,4.25,8.5
1010-1,1010,2024-02-12,4,Liam Martinez,Dallas,105,Mocha,coffee,2,4.75,9.5
1010-2,1010,2024-02-12,4,Liam Martinez,Dallas,113,Bagel,pastry,1,2.75,2.75
1010-3,1010,2024-02-12,4,Liam Martinez,Dallas,107,Green Tea,tea,1,3.5,3.5
1011-1,1011,2024-05-22,47,Isabella Jones,Dallas,104,Cappuccino,coffee,1,4.25,4.25
1012-1,1012,2024-05-28,4,Liam Martinez,Dallas,106,Cold Brew,coffee,1,4.75,4.75
1013-1,1013,2024-05-02,38,Jacob Nguyen,Dallas,103,Latte,coffee,1,4.5,4.5
1013-2,1013,2024-05-02,38,Jacob Nguyen,Dallas,109,Chai Latte,tea,1,4.25,4.25
1014-1,1014,2024-01-18,12,Logan Chen,Austin,104,Cappuccino,coffee,1,4.25,4.25
1014-2,1014,2024-01-18,12,Logan Chen,Austin,115,Chocolate Chip Cookie,pastry,1,2.5,2.5
1015-1,1015,2024-06-01,38,Jacob Nguyen,Dallas,111,Croissant,pastry,1,3.25,3.25
1016-1,1016,2024-03-21,34,Harper Nguyen,Austin,112,Blueberry Muffin,pastry,1,3.0,3.0
1017-1,1017,2024-04-13,17,Jackson Johnson,Houston,108,Earl Grey,tea,1,3.5,3.5
1017-2,1017,2024-04-13,17,Jackson Johnson,Houston,113,Bagel,pastry,2,2.75,5.5
1018-1,1018,2024-04-27,1,Abigail Johnson,Houston,102,Americano,coffee,1,3.25,3.25
1019-1,1019,2024-05-11,14,Sofia Lopez,Dallas,115,Chocolate Chip Cookie,pastry,1,2.5,2.5
1019-2,1019,2024-05-11,14,Sofia Lopez,Dallas,104,Cappuccino,coffee,1,4.25,4.25
1019-3,1019,2024-05-11,14,Sofia Lopez,Dallas,103,Latte,coffee,1,4.5,4.5
1020-1,1020,2024-06-29,35,Ethan Johnson,Houston,113,Bagel,pastry,1,2.75,2.75
1020-2,1020,2024-06-29,35,Ethan Johnson,Houston,101,Espresso,coffee,1,3.0,3.0
1020-3,1020,2024-06-29,35,Ethan Johnson,Houston,109,Chai Latte,tea,1,4.25,4.25
1021-1,1021,2024-01-27,43,Emma Lopez,Dallas,102,Americano,coffee,2,3.25,6.5
1022-1,1022,2024-05-25,48,Emily Kim,Houston,104,Cappuccino,coffee,1,4.25,4.25
1023-1,1023,2024-06-24,14,Sofia Lopez,Dallas,108,Earl Grey,tea,1,3.5,3.5
1024-1,1024,2024-01-24,4,Liam Martinez,Dallas,101,Espresso,coffee,1,3.0,3.0
1024-2,1024,2024-01-24,4,Liam Martinez,Dallas,113,Bagel,pastry,1,2.75,2.75
1025-1,1025,2024-02-11,17,Jackson Johnson,Houston,107,Green Tea,tea,1,3.5,3.5
1026-1,1026,2024-01-20,8,Emily Jones,Houston,103,Latte,coffee,1,4.5,4.5
1026-2,1026,2024-01-20,8,Emily Jones,Houston,114,Cinnamon Roll,pastry,1,3.75,3.75
1027-1,1027,2024-02-07,36,Elizabeth Davis,Houston,106,Cold Brew,coffee,2,4.75,9.5
1028-1,1028,2024-04-06,3,Ethan Patel,San Antonio,102,Americano,coffee,1,3.25,3.25
1029-1,1029,2024-04-14,36,Elizabeth Davis,Houston,115,Chocolate Chip Cookie,pastry,2,2.5,5.0
1029-2,1029,2024-04-14,36,Elizabeth Davis,Houston,114,Cinnamon Roll,pastry,1,3.75,3.75
1030-1,1030,2024-04-20,12,Logan Chen,Austin,106,Cold Brew,coffee,1,4.75,4.75
1030-2,1030,2024-04-20,12,Logan Chen,Austin,107,Green Tea,tea,2,3.5,7.0
1031-1,1031,2024-03-09,48,Emily Kim,Houston,102,Americano,coffee,1,3.25,3.25
1031-2,1031,2024-03-09,48,Emily Kim,Houston,101,Espresso,coffee,2,3.0,6.0
1032-1,1032,2024-02-21,15,Emily Patel,Dallas,105,Mocha,coffee,2,4.75,9.5
1033-1,1033,2024-03-02,15,Emily Patel,Dallas,106,Cold Brew,coffee,1,4.75,4.75
1034-1,1034,2024-03-12,5,James Martinez,Dallas,111,Croissant,pastry,3,3.25,9.75
1035-1,1035,2024-03-25,35,Ethan Johnson,Houston,105,Mocha,coffee,1,4.75,4.75
1036-1,1036,2024-01-13,17,Jackson Johnson,Houston,112,Blueberry Muffin,pastry,1,3.0,3.0
1037-1,1037,2024-06-04,28,Jacob Nguyen,San Antonio,115,Chocolate Chip Cookie,pastry,1,2.5,2.5
1038-1,1038,2024-01-12,17,Jackson Johnson,Houston,115,Chocolate Chip Cookie,pastry,2,2.5,5.0
1039-1,1039,2024-06-22,44,Liam Wilson,Austin,111,Croissant,pastry,2,3.25,6.5
1040-1,1040,2024-03-21,40,Sofia Garcia,Houston,115,Chocolate Chip Cookie,pastry,1,2.5,2.5
1041-1,1041,2024-06-19,20,Emily Patel,Dallas,105,Mocha,coffee,1,4.75,4.75
1042-1,1042,2024-04-17,13,Aiden Smith,Houston,112,Blueberry Muffin,pastry,2,3.0,6.0
1043-1,1043,2024-05-25,40,Sofia Garcia,Houston,101,Espresso,coffee,1,3.0,3.0
1044-1,1044,2024-04-20,14,Sofia Lopez,Dallas,106,Cold Brew,coffee,1,4.75,4.75
1044-2,1044,2024-04-20,14,Sofia Lopez,Dallas,108,Earl Grey,tea,1,3.5,3.5
1045-1,1045,2024-05-01,33,Charlotte Smith,San Antonio,112,Blueberry Muffin,pastry,1,3.0,3.0
1045-2,1045,2024-05-01,33,Charlotte Smith,San Antonio,102,Americano,coffee,1,3.25,3.25
1045-3,1045,2024-05-01,33,Charlotte Smith,San Antonio,111,Croissant,pastry,1,3.25,3.25
1046-1,1046,2024-01-24,22,Charlotte Nguyen,Dallas,111,Croissant,pastry,1,3.25,3.25
1046-2,1046,2024-01-24,22,Charlotte Nguyen,Dallas,113,Bagel,pastry,1,2.75,2.75
1047-1,1047,2024-01-13,2,James Wilson,Austin,114,Cinnamon Roll,pastry,1,3.75,3.75
1048-1,1048,2024-04-16,30,Olivia Rivera,Austin,112,Blueberry Muffin,pastry,1,3.0,3.0
1049-1,1049,2024-04-13,32,Logan Jones,Austin,101,Espresso,coffee,2,3.0,6.0
1049-2,1049,2024-04-13,32,Logan Jones,Austin,114,Cinnamon Roll,pastry,1,3.75,3.75
1050-1,1050,2024-04-20,7,Evelyn Nguyen,Dallas,112,Blueberry Muffin,pastry,1,3.0,3.0
1050-2,1050,2024-04-20,7,Evelyn Nguyen,Dallas,101,Espresso,coffee,1,3.0,3.0
1051-1,1051,2024-04-27,8,Emily Jones,Houston,109,Chai Latte,tea,3,4.25,12.75
1052-1,1052,2024-03-22,39,Harper Johnson,Houston,110,Matcha Latte,tea,2,4.95,9.9
1052-2,1052,2024-03-22,39,Harper Johnson,Houston,115,Chocolate Chip Cookie,pastry,1,2.5,2.5
1053-1,1053,2024-04-24,36,Elizabeth Davis,Houston,108,Earl Grey,tea,1,3.5,3.5
1053-2,1053,2024-04-24,36,Elizabeth Davis,Houston,113,Bagel,pastry,1,2.75,2.75
1054-1,1054,2024-03-11,41,Elizabeth Lee,Austin,111,Croissant,pastry,1,3.25,3.25
1055-1,1055,2024-01-20,29,Ella Smith,Dallas,106,Cold Brew,coffee,1,4.75,4.75
1056-1,1056,2024-01-21,35,Ethan Johnson,Houston,112,Blueberry Muffin,pastry,1,3.0,3.0
1057-1,1057,2024-01-17,14,Sofia Lopez,Dallas,108,Earl Grey,tea,1,3.5,3.5
1058-1,1058,2024-04-17,14,Sofia Lopez,Dallas,112,Blueberry Muffin,pastry,1,3.0,3.0
1058-2,1058,2024-04-17,14,Sofia Lopez,Dallas,115,Chocolate Chip Cookie,pastry,1,2.5,2.5
1059-1,1059,2024-05-04,25,Isabella Patel,Houston,113,Bagel,pastry,1,2.75,2.75
1060-1,1060,2024-05-17,27,Olivia Nguyen,Dallas,110,Matcha Latte,tea,2,4.95,9.9
1061-1,1061,2024-03-02,32,Logan Jones,Austin,107,Green Tea,tea,1,3.5,3.5
1062-1,1062,2024-04-13,44,Liam Wilson,Austin,115,Chocolate Chip Cookie,pastry,1,2.5,2.5
1062-2,1062,2024-04-13,44,Liam Wilson,Austin,110,Matcha Latte,tea,1,4.95,4.95
1063-1,1063,2024-05-31,26,Sophia Rivera,San Antonio,111,Croissant,pastry,1,3.25,3.25
1064-1,1064,2024-02-17,30,Olivia Rivera,Austin,104,Cappuccino,coffee,1,4.25,4.25
1065-1,1065,2024-04-07,22,Charlotte Nguyen,Dallas,107,Green Tea,tea,1,3.5,3.5
1065-2,1065,2024-04-07,22,Charlotte Nguyen,Dallas,102,Americano,coffee,1,3.25,3.25
1065-3,1065,2024-04-07,22,Charlotte Nguyen,Dallas,112,Blueberry Muffin,pastry,1,3.0,3.0
1066-1,1066,2024-02-27,23,Ethan Davis,Dallas,111,Croissant,pastry,1,3.25,3.25
1066-2,1066,2024-02-27,23,Ethan Davis,Dallas,101,Espresso,coffee,2,3.0,6.0
1067-1,1067,2024-01-06,13,Aiden Smith,Houston,108,Earl Grey,tea,1,3.5,3.5
1068-1,1068,2024-02-25,37,Henry Lee,Austin,106,Cold Brew,coffee,1,4.75,4.75
1069-1,1069,2024-01-30,39,Harper Johnson,Houston,105,Mocha,coffee,1,4.75,4.75
1070-1,1070,2024-03-20,2,James Wilson,Austin,107,Green Tea,tea,1,3.5,3.5
1070-2,1070,2024-03-20,2,James Wilson,Austin,112,Blueberry Muffin,pastry,1,3.0,3.0
1070-3,1070,2024-03-20,2,James Wilson,Austin,110,Matcha Latte,tea,1,4.95,4.95
1071-1,1071,2024-03-03,41,Elizabeth Lee,Austin,114,Cinnamon Roll,pastry,1,3.75,3.75
1071-2,1071,2024-03-03,41,Elizabeth Lee,Austin,113,Bagel,pastry,1,2.75,2.75
1072-1,1072,2024-01-11,37,Henry Lee,Austin,106,Cold Brew,coffee,1,4.75,4.75
1073-1,1073,2024-03-30,42,Michael Davis,Austin,108,Earl Grey,tea,1,3.5,3.5
1074-1,1074,2024-06-11,24,Sofia Chen,San Antonio,103,Latte,coffee,1,4.5,4.5
1075-1,1075,2024-05-13,47,Isabella Jones,Dallas,113,Bagel,pastry,2,2.75,5.5
1076-1,1076,2024-05-03,50,James Patel,Austin,110,Matcha Latte,tea,1,4.95,4.95
1076-2,1076,2024-05-03,50,James Patel,Austin,114,Cinnamon Roll,pastry,1,3.75,3.75
1077-1,1077,2024-03-12,6,Emily Jones,San Antonio,108,Earl Grey,tea,1,3.5,3.5
